diskType, runtime, opType, pool, volume, blockSize, ioDepth, recoveryLimit,expectCost,actualCost
hdd,180,read,disk2_pool,foo1,256k,1,1,1,2.928912
hdd,180,read,disk2_pool,foo1,256k,1,158,1,3.300724
hdd,180,read,disk2_pool,foo1,256k,1,316,1,3.438891
hdd,180,read,disk2_pool,foo1,256k,1,500,1,5.22829
hdd,180,read,disk2_pool,foo1,256k,1,600,1,17.645798
hdd,180,read,disk2_pool,foo1,256k,8,1,1,25.888146
hdd,180,read,disk2_pool,foo1,256k,8,158,1,21.216969
hdd,180,read,disk2_pool,foo1,256k,8,316,1,38.380175
hdd,180,read,disk2_pool,foo1,256k,8,500,1,78.398458
hdd,180,read,disk2_pool,foo1,256k,8,600,1,97.058008
hdd,180,read,disk2_pool,foo1,256k,16,1,1,37.517078
hdd,180,read,disk2_pool,foo1,256k,16,158,1,63.719457
hdd,180,read,disk2_pool,foo1,256k,16,316,1,80.929685
hdd,180,read,disk2_pool,foo1,256k,16,500,1,198.132948
hdd,180,read,disk2_pool,foo1,256k,16,600,1,200.480606
hdd,180,read,disk2_pool,foo1,256k,32,1,1,96.56619
hdd,180,read,disk2_pool,foo1,256k,32,158,1,137.604884
hdd,180,read,disk2_pool,foo1,256k,32,500,1,431.04676
hdd,180,read,disk2_pool,foo1,256k,32,600,1,631.111233
hdd,180,read,disk2_pool,foo1,256k,64,1,1,183.179622
hdd,180,read,disk2_pool,foo1,256k,64,158,1,249.187541
hdd,180,read,disk2_pool,foo1,256k,64,316,1,395.226485
hdd,180,read,disk2_pool,foo1,256k,64,500,1,489.947375
hdd,180,read,disk2_pool,foo1,256k,64,600,1,686.935124
hdd,180,read,disk2_pool,foo1,256k,128,1,1,361.261349
hdd,180,read,disk2_pool,foo1,256k,128,158,1,481.686991
hdd,180,read,disk2_pool,foo1,256k,128,316,1,595.598825
hdd,180,read,disk2_pool,foo1,256k,128,500,1,935.807586
hdd,180,read,disk2_pool,foo1,256k,128,600,1,974.2771
hdd,180,read,disk2_pool,foo1,256k,256,1,1,722.148988
hdd,180,read,disk2_pool,foo1,256k,256,158,1,710.075968
hdd,180,read,disk2_pool,foo1,256k,256,316,1,1054.166222
hdd,180,read,disk2_pool,foo1,256k,256,500,1,1347.888398
hdd,180,read,disk2_pool,foo1,256k,256,600,1,1657.626807
hdd,180,read,disk2_pool,foo1,1M,1,1,1,6.629931
hdd,180,read,disk2_pool,foo1,1M,1,158,1,11.964146
hdd,180,read,disk2_pool,foo1,1M,1,316,1,17.143853
hdd,180,read,disk2_pool,foo1,1M,1,500,1,25.316911
hdd,180,read,disk2_pool,foo1,1M,1,600,1,12.069379
hdd,180,read,disk2_pool,foo1,1M,8,1,1,73.738662
hdd,180,read,disk2_pool,foo1,1M,8,158,1,104.780292
hdd,180,read,disk2_pool,foo1,1M,8,316,1,134.506367
hdd,180,read,disk2_pool,foo1,1M,8,500,1,236.885974
hdd,180,read,disk2_pool,foo1,1M,8,600,1,372.777207
hdd,180,read,disk2_pool,foo1,1M,16,1,1,132.63163
hdd,180,read,disk2_pool,foo1,1M,16,158,1,170.696292
hdd,180,read,disk2_pool,foo1,1M,16,316,1,192.071362
hdd,180,read,disk2_pool,foo1,1M,16,500,1,369.465024
hdd,180,read,disk2_pool,foo1,1M,16,600,1,523.946805
hdd,180,read,disk2_pool,foo1,1M,32,1,1,253.758822
hdd,180,read,disk2_pool,foo1,1M,32,158,1,261.02531
hdd,180,read,disk2_pool,foo1,1M,32,316,1,412.138909
hdd,180,read,disk2_pool,foo1,1M,32,500,1,607.241067
hdd,180,read,disk2_pool,foo1,1M,32,600,1,772.437533
hdd,180,read,disk2_pool,foo1,1M,64,1,1,396.794712
hdd,180,read,disk2_pool,foo1,1M,64,158,1,620.220588
hdd,180,read,disk2_pool,foo1,1M,64,316,1,792.677523
hdd,180,read,disk2_pool,foo1,1M,64,500,1,1277.791497
hdd,180,read,disk2_pool,foo1,1M,64,600,1,1132.699513
hdd,180,read,disk2_pool,foo1,1M,128,1,1,753.307994
hdd,180,read,disk2_pool,foo1,1M,128,158,1,992.635726
hdd,180,read,disk2_pool,foo1,1M,128,316,1,1164.804982
hdd,180,read,disk2_pool,foo1,1M,128,500,1,1999.726243
hdd,180,read,disk2_pool,foo1,1M,128,600,1,1947.396469
hdd,180,read,disk2_pool,foo1,1M,256,1,1,781.080519
hdd,180,read,disk2_pool,foo1,1M,256,158,1,892.950852
